id,content,choiceA,choiceB,choiceC,choiceD,type,level,correctAnswer
1,辞書,じいしょ,じしょう,じしょ,じいしょ,1,5,3
2,編集,へんしゅう,へんしゅ,へしゅ,べんしゅう,1,5,1
3,編集,へんしゅう,へんしゅ,へしゅ,べんしゅう,1,5,1
4,編集,へんしゅう,へんしゅ,へしゅ,べんしゅう,1,5,1
5,編集,へんしゅう,へんしゅ,へしゅ,べんしゅう,1,5,1
6,編集,へんしゅう,へんしゅ,へしゅ,べんしゅう,1,5,1
7,編集,へんしゅう,へんしゅ,へしゅ,べんしゅう,1,5,1
8,content,choiceA,choiceB,choiceC,choiceD,1,5,1
9,content,choiceA,choiceB,choiceC,choiceD,1,5,1
10,content,choiceA,choiceB,choiceC,choiceD,1,5,1
11,content,choiceA,choiceB,choiceC,choiceD,1,5,1
12,content,choiceA,choiceB,choiceC,choiceD,1,5,1
13,content,choiceA,choiceB,choiceC,choiceD,1,5,1
14,編集,へんしゅう,へんしゅ,へしゅ,べんしゅう,1,5,1
15,編集,へんしゅう,へんしゅ,へしゅ,べんしゅう,1,5,1
16,編集,へんしゅう,へんしゅ,へしゅ,べんしゅう,1,5,1
17,編集,へんしゅう,へんしゅ,へしゅ,べんしゅう,1,5,1
18,編集,へんしゅう,へんしゅ,へしゅ,べんしゅう,1,5,1
